,treatment_toll,death_toll,etaw_toll,patient_toll
844,0,0,0,297
845,0,0,0,297
846,0,0,0,297
847,0,0,0,297
848,0,0,0,297
849,0,0,0,297
850,0,0,0,297
851,0,0,0,297
852,0,0,0,297
853,0,0,0,297
854,0,0,0,297
855,0,0,0,297
856,0,0,0,297
857,0,0,0,297
858,0,0,0,297
859,0,0,0,297
860,0,0,0,297
861,0,0,0,297
862,0,0,0,297
863,0,0,0,297
864,0,0,0,297
865,0,0,0,297
866,0,0,0,297
867,0,0,0,297
868,0,0,0,297
869,0,0,0,297
870,0,0,0,297
871,0,0,0,297
872,0,0,0,297
873,0,0,0,297
874,0,0,0,297
875,0,0,0,297
876,0,0,0,297
877,0,0,0,297
878,0,0,0,297
879,0,0,0,297
880,0,0,0,297
881,0,0,0,297
882,0,0,0,297
883,0,0,0,297
884,0,0,0,297
885,0,0,0,297
886,0,0,0,297
887,0,0,0,297
888,0,0,0,297
889,0,0,0,297
890,0,0,0,297
891,0,0,0,297
892,0,0,0,297
893,0,0,0,297
894,0,0,0,297
895,0,0,0,297
896,0,0,0,297
897,0,0,0,297
898,0,0,0,297
899,0,0,0,297
900,0,0,0,297
901,0,0,0,297
902,0,0,0,297
903,0,0,0,297
904,0,0,0,297
905,0,0,0,297
906,0,0,0,297
907,0,0,0,297
908,0,0,0,297
909,0,0,0,297
910,0,0,0,297
911,0,0,0,297
912,0,0,0,297
913,0,0,0,297
914,0,0,0,297
915,0,0,0,297
916,0,0,0,297
917,0,0,0,297
918,0,0,0,297
919,0,0,0,297
920,0,0,0,297
921,0,0,0,297
922,0,0,0,297
923,0,0,0,297
924,0,0,0,297
925,0,0,0,297
926,0,0,0,297
927,0,0,0,297
928,0,0,0,297
929,0,0,0,297
930,0,0,0,297
931,0,0,0,297
932,0,0,0,297
933,0,0,0,297
934,0,0,0,297
935,0,0,0,297
936,0,0,0,297
937,0,0,0,297
938,0,0,0,297
939,0,0,0,297
940,0,0,0,297
941,0,0,0,297
942,0,0,0,297
943,0,0,0,297
944,0,0,0,297
945,0,0,0,297
946,0,0,0,297
947,0,0,0,297
948,0,0,0,297
949,0,0,0,297
950,0,0,0,297
951,0,0,0,297
952,0,0,0,297
953,0,0,0,297
954,0,0,0,297
955,0,0,0,297
956,0,0,0,297
957,0,0,0,297
958,0,0,0,297
959,0,0,0,297
960,0,0,0,297
961,0,0,0,297
962,0,0,0,297
963,0,0,0,297
964,0,0,0,297
965,0,0,0,297
966,0,0,0,297
967,0,0,0,297
968,0,0,0,297
969,0,0,0,297
970,0,0,0,297
971,0,0,0,297
972,0,0,0,297
973,0,0,0,297
974,0,0,0,297
975,0,0,0,297
976,0,0,0,297
977,0,0,0,297
978,0,0,0,297
979,0,0,0,297
980,0,0,0,297
981,0,0,0,297
982,0,0,0,297
983,0,0,0,297
984,0,0,0,297
985,0,0,0,297
986,0,0,0,297
987,0,0,0,297
988,0,0,0,297
989,0,0,0,297
990,0,0,0,297
991,0,0,0,297
992,0,0,0,297
993,0,0,0,297
994,0,0,0,297
995,0,0,0,297
996,0,0,0,297
997,0,0,0,297
998,0,0,0,297
999,0,0,0,297
1000,0,0,0,297
1001,0,0,0,297
1002,0,0,0,297
1003,0,0,0,297
1004,0,0,0,297
1005,0,0,0,297
1006,0,0,0,297
1007,0,0,0,297
1008,0,0,0,297
1009,0,0,0,297
1010,0,0,0,297
1011,0,0,0,297
1012,0,0,0,297
